Site ProfileID Date Chainage Elevation Flag
DUCK P-100 1998-01-12 0.00 6.30 GPS
DUCK P-100 1998-01-12 12.00 5.85 GPS
DUCK P-100 1998-01-12 24.00 3.62 GPS
DUCK P-100 1998-01-12 36.00 2.25 GPS
DUCK P-100 1998-01-12 48.00 1.13 GPS
DUCK P-100 1998-01-12 60.00 -0.01 GPS
DUCK P-100 1998-01-12 72.00 -1.19 GPS
DUCK P-100 1998-01-12 84.00 -1.86 GPS
DUCK P-100 1998-01-12 96.00 -2.14 GPS
DUCK P-100 1998-01-12 108.00 -2.29 GPS
DUCK P-100 1998-01-12 120.00 -2.26 GPS
DUCK P-100 1998-01-12 132.00 -2.17 GPS
DUCK P-100 1998-01-12 144.00 -2.00 GPS
DUCK P-100 1998-01-12 156.00 -1.88 GPS
DUCK P-100 1998-01-12 168.00 -2.07 GPS
DUCK P-100 1998-01-12 180.00 -2.47 GPS
DUCK P-100 1998-01-12 192.00 -2.89 GPS
DUCK P-100 1998-01-12 204.00 -3.21 GPS
DUCK P-100 1998-01-12 216.00 -3.40 GPS
DUCK P-100 1998-01-12 228.00 -3.52 GPS
DUCK P-100 1998-01-12 240.00 -3.60 GPS
DUCK P-100 1998-01-12 252.00 -3.69 GPS
DUCK P-100 1998-01-12 264.00 -3.80 GPS
DUCK P-100 1998-01-12 276.00 -3.92 GPS
DUCK P-100 1998-01-12 288.00 -4.05 GPS
DUCK P-100 1998-01-12 300.00 -4.19 GPS
DUCK P-100 1998-01-12 312.00 -4.33 GPS
DUCK P-100 1998-01-12 324.00 -4.48 GPS
DUCK P-100 1998-01-12 336.00 -4.60 GPS
DUCK P-100 1998-01-12 348.00 -4.75 GPS
DUCK P-100 1998-01-12 360.00 -4.90 GPS
DUCK P-100 1998-01-12 372.00 -5.04 GPS
DUCK P-100 1998-01-12 384.00 -5.18 GPS
DUCK P-100 1998-01-12 396.00 -5.31 GPS
DUCK P-100 1998-01-12 408.00 -5.44 GPS
DUCK P-100 1998-01-12 420.00 -5.59 GPS
