Site ProfileID Date Chainage Elevation Flag
DUCK P-100 1998-01-27 73.01 1.57 GPS
DUCK P-100 1998-01-27 73.51 1.52 GPS
DUCK P-100 1998-01-27 73.81 1.48 GPS
DUCK P-100 1998-01-27 74.31 1.43 GPS
DUCK P-100 1998-01-27 74.81 1.38 GPS
DUCK P-100 1998-01-27 75.31 1.33 GPS
DUCK P-100 1998-01-27 75.81 1.28 GPS
DUCK P-100 1998-01-27 76.31 1.23 GPS
DUCK P-100 1998-01-27 76.71 1.17 GPS
DUCK P-100 1998-01-27 77.21 1.13 GPS
DUCK P-100 1998-01-27 77.61 1.07 GPS
DUCK P-100 1998-01-27 78.01 1.02 GPS
DUCK P-100 1998-01-27 78.51 0.99 GPS
DUCK P-100 1998-01-27 78.91 0.94 GPS
DUCK P-100 1998-01-27 79.41 0.89 GPS
DUCK P-100 1998-01-27 80.21 0.78 GPS
DUCK P-100 1998-01-27 80.71 0.73 GPS
DUCK P-100 1998-01-27 81.11 0.69 GPS
DUCK P-100 1998-01-27 81.61 0.63 GPS
DUCK P-100 1998-01-27 82.01 0.61 GPS
DUCK P-100 1998-01-27 82.41 0.58 GPS
DUCK P-100 1998-01-27 82.91 0.52 GPS
DUCK P-100 1998-01-27 83.21 0.48 GPS
DUCK P-100 1998-01-27 83.71 0.44 GPS
DUCK P-100 1998-01-27 84.01 0.39 GPS
DUCK P-100 1998-01-27 84.41 0.37 GPS
DUCK P-100 1998-01-27 85.01 0.31 GPS
DUCK P-100 1998-01-27 85.81 0.22 GPS
DUCK P-100 1998-01-27 86.11 0.17 GPS
DUCK P-100 1998-01-27 86.51 0.13 GPS
DUCK P-100 1998-01-27 86.81 0.09 GPS
DUCK P-100 1998-01-27 87.11 0.06 GPS
DUCK P-100 1998-01-27 87.51 0.03 GPS
DUCK P-100 1998-01-27 87.81 -0.01 GPS
DUCK P-100 1998-01-27 88.21 -0.04 GPS
DUCK P-100 1998-01-27 88.61 -0.10 GPS
DUCK P-100 1998-01-27 89.11 -0.17 GPS
DUCK P-100 1998-01-27 89.51 -0.24 GPS
DUCK P-100 1998-01-27 90.11 -0.31 GPS
DUCK P-100 1998-01-27 90.51 -0.37 GPS
DUCK P-100 1998-01-27 91.31 -0.50 GPS
DUCK P-100 1998-01-27 91.71 -0.54 GPS
DUCK P-100 1998-01-27 92.21 -0.60 GPS
DUCK P-100 1998-01-27 92.81 -0.64 GPS
DUCK P-100 1998-01-27 93.21 -0.70 GPS
