Date/Time (GMT)	Latitude	Longitude	Flag	Hs (Hm0)(m)	Hmax (m)	Tp (s)	Tz (Tm)(s)	Dirp (degrees)	Spread (deg)	SST (deg C)
  02-Jan-2018 04:30:00	50.73414	-0.49417	5	1.020	1.790	16.7	3.9	218	 20	9.2
  02-Jan-2018 05:00:00	50.73418	-0.49370	5	0.970	1.360	15.4	3.7	212	 24	9.2
  02-Jan-2018 05:30:00	50.73441	-0.49353	5	0.900	1.280	14.3	3.7	221	 25	9.2
  02-Jan-2018 06:00:00	50.73447	-0.49348	5	0.900	1.670	14.3	4.0	207	 27	9.1
  02-Jan-2018 06:30:00	50.73448	-0.49344	5	0.960	1.560	13.3	4.3	217	 19	8.9
  02-Jan-2018 07:00:00	50.73449	-0.49342	5	0.990	1.770	12.5	4.7	211	 17	8.9
  02-Jan-2018 07:30:00	50.73449	-0.49340	5	1.120	2.320	11.8	5.6	210	 16	8.9
  02-Jan-2018 08:00:00	50.73450	-0.49344	0	1.290	2.020	11.8	6.5	212	 20	8.8
  02-Jan-2018 08:30:00	50.73454	-0.49348	0	1.450	2.330	10.5	7.0	210	 18	9.1
  02-Jan-2018 09:00:00	50.73456	-0.49348	0	1.490	2.210	11.8	6.7	215	 20	9.3
  02-Jan-2018 09:30:00	50.73457	-0.49351	0	1.510	2.460	11.1	6.5	218	 18	9.3
  02-Jan-2018 10:00:00	50.73460	-0.49357	0	1.600	2.720	11.1	5.6	218	 19	9.3
  02-Jan-2018 10:30:00	50.73466	-0.49372	0	1.890	2.800	10.5	6.3	214	 13	9.3
  02-Jan-2018 11:00:00	50.73465	-0.49411	5	1.780	2.830	15.4	5.6	225	 21	9.3
  02-Jan-2018 11:30:00	50.73443	-0.49445	0	1.820	2.560	9.1	5.5	219	 15	9.3
  02-Jan-2018 12:00:00	50.73432	-0.49453	5	1.750	2.850	14.3	5.4	228	 26	9.3
  02-Jan-2018 12:30:00	50.73431	-0.49456	5	1.700	2.130	16.7	5.5	219	 21	9.2
  02-Jan-2018 13:00:00	50.73428	-0.49458	0	1.750	2.710	5.3	5.1	203	 18	9.0
  02-Jan-2018 13:30:00	50.73427	-0.49453	0	1.720	3.020	6.3	5.1	210	 16	9.0
  02-Jan-2018 14:00:00	50.73425	-0.49451	0	1.710	2.560	7.1	5.0	214	 16	9.0
  02-Jan-2018 14:30:00	50.73426	-0.49451	0	1.670	2.700	6.3	4.8	208	 25	9.1
  02-Jan-2018 15:00:00	50.73420	-0.49447	0	1.690	2.880	6.7	4.9	208	 18	9.2
  02-Jan-2018 15:30:00	50.73418	-0.49445	0	1.650	2.310	6.3	4.8	211	 22	9.2
  02-Jan-2018 16:00:00	50.73419	-0.49441	0	1.650	2.510	7.1	4.9	211	 18	9.3
