Site ProfileID Date Chainage Elevation Flag
NARRA PF8 2014-01-10 70 0.85 GPS
NARRA PF8 2014-01-10 71 0.71 GPS
NARRA PF8 2014-01-10 72 0.64 GPS
NARRA PF8 2014-01-10 73 0.55 GPS
NARRA PF8 2014-01-10 74 0.41 GPS
NARRA PF8 2014-01-10 75 0.33 GPS
NARRA PF8 2014-01-10 76 0.23 GPS
NARRA PF8 2014-01-10 77 0.08 GPS
NARRA PF8 2014-01-10 78 -0.05 GPS
NARRA PF8 2014-01-10 79 -0.23 GPS
NARRA PF8 2014-01-10 80 -0.31 GPS
NARRA PF8 2014-01-10 81 -0.39 GPS
NARRA PF8 2014-01-10 82 -0.44 GPS
NARRA PF8 2014-01-10 83 -0.56 GPS
NARRA PF2 2014-01-10 0 9.4 DUNEFILL
NARRA PF2 2014-01-10 1 9.36 DUNEFILL
NARRA PF2 2014-01-10 2 9.33 DUNEFILL
NARRA PF2 2014-01-10 3 9.29 DUNEFILL
NARRA PF2 2014-01-10 4 9.26 DUNEFILL
NARRA PF2 2014-01-10 5 9.3 DUNEFILL
NARRA PF2 2014-01-10 6 9.23 DUNEFILL
NARRA PF2 2014-01-10 7 8.98 DUNEFILL
NARRA PF2 2014-01-10 8 8.77 DUNEFILL
NARRA PF2 2014-01-10 9 8.5 DUNEFILL
NARRA PF2 2014-01-10 10 8.15 DUNEFILL
NARRA PF2 2014-01-10 11 7.85 DUNEFILL
NARRA PF2 2014-01-10 12 7.52 DUNEFILL
NARRA PF2 2014-01-10 13 7.14 DUNEFILL
NARRA PF2 2014-01-10 14 6.8 DUNEFILL
NARRA PF2 2014-01-10 15 6.43 DUNEFILL
NARRA PF2 2014-01-10 16 6.25 DUNEFILL
NARRA PF2 2014-01-10 17 6.24 DUNEFILL
NARRA PF2 2014-01-10 18 6.28 DUNEFILL
NARRA PF2 2014-01-10 19 6.38 DUNEFILL
NARRA PF2 2014-01-10 20 6.44 GPS
NARRA PF2 2014-01-10 21 6.23 GPS
NARRA PF2 2014-01-10 22 6.07 GPS
NARRA PF2 2014-01-10 23 6.01 GPS
NARRA PF2 2014-01-10 24 5.75 GPS
NARRA PF2 2014-01-10 25 4.38 GPS
NARRA PF2 2014-01-10 26 4 GPS
NARRA PF2 2014-01-10 27 3.83 GPS
NARRA PF2 2014-01-10 28 3.63 GPS
NARRA PF2 2014-01-10 29 3.44 GPS
NARRA PF2 2014-01-10 30 3.27 GPS
NARRA PF2 2014-01-10 31 3.19 GPS
NARRA PF2 2014-01-10 32 3.14 GPS
NARRA PF2 2014-01-10 33 3.11 GPS
NARRA PF2 2014-01-10 34 3.08 GPS
NARRA PF2 2014-01-10 35 3.01 GPS
NARRA PF2 2014-01-10 36 2.89 GPS
NARRA PF2 2014-01-10 37 2.72 GPS
NARRA PF2 2014-01-10 38 2.64 GPS
NARRA PF2 2014-01-10 39 2.46 GPS
NARRA PF2 2014-01-10 40 2.3 GPS
NARRA PF2 2014-01-10 41 2.14 GPS
NARRA PF2 2014-01-10 42 2.01 GPS
NARRA PF2 2014-01-10 43 1.87 GPS
NARRA PF2 2014-01-10 44 1.78 GPS
NARRA PF2 2014-01-10 45 1.71 GPS
NARRA PF2 2014-01-10 46 1.63 GPS
NARRA PF2 2014-01-10 47 1.52 GPS
NARRA PF2 2014-01-10 48 1.36 GPS
NARRA PF2 2014-01-10 49 1.21 GPS
NARRA PF2 2014-01-10 50 1.09 GPS
NARRA PF2 2014-01-10 51 0.93 GPS
NARRA PF2 2014-01-10 52 0.81 GPS
NARRA PF2 2014-01-10 53 0.64 GPS
NARRA PF2 2014-01-10 54 0.47 GPS
NARRA PF2 2014-01-10 55 0.33 GPS
NARRA PF2 2014-01-10 56 0.15 GPS
NARRA PF2 2014-01-10 57 0.02 GPS
NARRA PF2 2014-01-10 58 -0.16 GPS
NARRA PF2 2014-01-10 59 -0.26 GPS
NARRA PF2 2014-01-10 60 -0.36 GPS
NARRA PF2 2014-01-10 61 -0.48 GPS
NARRA PF1 2014-01-10 0 9.12 DUNEFILL
NARRA PF1 2014-01-10 1 9.12 DUNEFILL
NARRA PF1 2014-01-10 2 8.91 DUNEFILL
NARRA PF1 2014-01-10 3 8.93 DUNEFILL
NARRA PF1 2014-01-10 4 8.9 DUNEFILL
NARRA PF1 2014-01-10 5 8.88 DUNEFILL
NARRA PF1 2014-01-10 6 8.86 DUNEFILL
NARRA PF1 2014-01-10 7 8.84 DUNEFILL
NARRA PF1 2014-01-10 8 8.8 DUNEFILL
NARRA PF1 2014-01-10 9 8.8 DUNEFILL
NARRA PF1 2014-01-10 10 8.83 DUNEFILL
NARRA PF1 2014-01-10 11 8.85 DUNEFILL
NARRA PF1 2014-01-10 12 8.83 DUNEFILL
NARRA PF1 2014-01-10 13 8.7 DUNEFILL
NARRA PF1 2014-01-10 14 8.72 DUNEFILL
NARRA PF1 2014-01-10 15 8.72 DUNEFILL
NARRA PF1 2014-01-10 16 8.67 DUNEFILL
NARRA PF1 2014-01-10 17 8.66 DUNEFILL
NARRA PF1 2014-01-10 18 8.68 DUNEFILL
NARRA PF1 2014-01-10 19 8.66 DUNEFILL
NARRA PF1 2014-01-10 20 8.61 DUNEFILL
NARRA PF1 2014-01-10 21 8.52 DUNEFILL
NARRA PF1 2014-01-10 22 8.43 DUNEFILL
