Site ProfileID Date Chainage Elevation Flag
DUCK P-100 1998-02-01 74.32 1.09 GPS
DUCK P-100 1998-02-01 74.88 1.04 GPS
DUCK P-100 1998-02-01 75.41 0.99 GPS
DUCK P-100 1998-02-01 76.04 0.94 GPS
DUCK P-100 1998-02-01 76.71 0.88 GPS
DUCK P-100 1998-02-01 77.29 0.84 GPS
DUCK P-100 1998-02-01 77.83 0.78 GPS
DUCK P-100 1998-02-01 78.46 0.70 GPS
DUCK P-100 1998-02-01 79.05 0.66 GPS
DUCK P-100 1998-02-01 79.73 0.60 GPS
DUCK P-100 1998-02-01 80.33 0.54 GPS
DUCK P-100 1998-02-01 80.85 0.49 GPS
DUCK P-100 1998-02-01 81.70 0.41 GPS
DUCK P-100 1998-02-01 82.36 0.33 GPS
DUCK P-100 1998-02-01 83.02 0.25 GPS
DUCK P-100 1998-02-01 83.73 0.14 GPS
DUCK P-100 1998-02-01 84.38 0.09 GPS
DUCK P-100 1998-02-01 84.75 0.08 GPS
DUCK P-100 1998-02-01 85.53 0.01 GPS
DUCK P-100 1998-02-01 86.47 -0.10 GPS
DUCK P-100 1998-02-01 87.19 -0.19 GPS
DUCK P-100 1998-02-01 88.03 -0.27 GPS
DUCK P-100 1998-02-01 88.59 -0.33 GPS
DUCK P-100 1998-02-01 89.18 -0.41 GPS
DUCK P-100 1998-02-01 89.94 -0.55 GPS
DUCK P-100 1998-02-01 90.48 -0.57 GPS
DUCK P-100 1998-02-01 90.80 -0.58 GPS
DUCK P-100 1998-02-01 91.46 -0.65 GPS
DUCK P-100 1998-02-01 92.19 -0.70 GPS
DUCK P-100 1998-02-01 92.88 -0.80 GPS
DUCK P-100 1998-02-01 93.67 -0.84 GPS
DUCK P-100 1998-02-01 93.99 -0.84 GPS
DUCK P-100 1998-02-01 94.31 -0.84 GPS
DUCK P-100 1998-02-01 94.74 -0.83 GPS
DUCK P-100 1998-02-01 95.13 -0.84 GPS
DUCK P-100 1998-02-01 95.53 -0.85 GPS
DUCK P-100 1998-02-01 96.08 -0.89 GPS
DUCK P-100 1998-02-01 96.42 -0.92 GPS
DUCK P-100 1998-02-01 96.95 -0.93 GPS
DUCK P-100 1998-02-01 97.81 -1.04 GPS
DUCK P-100 1998-02-01 98.82 -1.11 GPS
DUCK P-100 1998-02-01 99.16 -1.14 GPS
DUCK P-100 1998-02-01 99.70 -1.20 GPS
DUCK P-100 1998-02-01 100.22 -1.25 GPS
DUCK P-100 1998-02-01 100.65 -1.29 GPS
DUCK P-100 1998-02-01 100.99 -1.30 GPS
DUCK P-100 1998-02-01 101.67 -1.38 GPS
DUCK P-100 1998-02-01 102.16 -1.42 GPS
DUCK P-100 1998-02-01 102.59 -1.40 GPS
DUCK P-100 1998-02-01 103.07 -1.41 GPS
DUCK P-100 1998-02-01 103.64 -1.49 GPS
DUCK P-100 1998-02-01 104.13 -1.48 GPS
DUCK P-100 1998-02-01 104.47 -1.45 GPS
DUCK P-100 1998-02-01 105.04 -1.44 GPS
DUCK P-100 1998-02-01 105.38 -1.42 GPS
DUCK P-100 1998-02-01 105.72 -1.45 GPS
DUCK P-100 1998-02-01 106.29 -1.44 GPS
DUCK P-100 1998-02-01 106.63 -1.42 GPS
