Conventions,G,BADC-CSV,1
title,G,uk-mean-wind-obs
source,G,Met Office MIDAS database
creator,G,Met Office
activity,G,Met Office MIDAS Open: UK Land Surface Stations Data
feature_type,G,point series
collection_name,G,midas-open
collection_version_number,G,dataset-version-201908
history,G,Created 2019-08-20
last_revised_date,G,2019-08-20
observation_station,G,wight-st-catherines-point
historic_county_name,G,isle-of-wight
midas_station_id,G,00876
location,G,50.576,-1.297
height,G,20,m
date_valid,G,2018-01-01 00:00:00,2018-12-31 23:59:59
midas_qc_version_number,G,1
comments,G,The midas_qc_version_number indicates if the data are original received message (0) or current best version (1)
comments,G,This file contains station observations
comments,G,missing values are identified with the missing data flag
missing_value,G,NA
coordinate_variable,ob_end_time,t
long_name,ob_end_time,Date at end of observation period,s
type,ob_end_time,char
comments,ob_end_time,Date and time (YYYY-MM-DD HH:MM:SS) at the end of the observation period
long_name,id,station identifier,1
type,id,char
comments,id,a station may have more than one id assigned to it designated by the id_type
long_name,id_type,identifier type,1
type,id_type,char
comments,id_type,a station may have more than one id assigned to it defined by id_type
long_name,ob_hour_count,Observation hour count,hours
type,ob_hour_count,int
long_name,version_num,midas qc version number,1
type,version_num,int
comments,version_num,The midas_qc_version_number indicates if the data are original received message (0) or current best version (1)
long_name,met_domain_name,message type,1
type,met_domain_name,char
comments,met_domain_name,message type (see MIDAS documentation)
long_name,src_id,unique source identifier or station site number,1
type,src_id,int
comments,src_id,unique source identifier or station site number
long_name,rec_st_ind,state indicator for the record,1
type,rec_st_ind,int
comments,rec_st_ind,state indicator for the current stage in the life of the record (see MIDAS documentation)
long_name,mean_wind_dir,Mean wind direciton,deg true
type,mean_wind_dir,int
long_name,mean_wind_speed,Mean wind speed,knots
type,mean_wind_speed,float
long_name,max_gust_dir,Direction of maximum wind gust,deg true
type,max_gust_dir,int
long_name,max_gust_speed,Speed of maximum wind gust,knots
type,max_gust_speed,float
long_name,max_gust_ctime,Clock time of maximum gust HHMM,s
type,max_gust_ctime,char
long_name,mean_wind_dir_q,QC code: Mean wind direction,1
type,mean_wind_dir_q,int
long_name,mean_wind_speed_q,QC code: Mean wind speed,1
type,mean_wind_speed_q,int
long_name,max_gust_dir_q,QC code: Direction of maximum wind gust,1
type,max_gust_dir_q,int
long_name,max_gust_speed_q,QC code: Speed of maximum wind gust,1
type,max_gust_speed_q,int
long_name,max_gust_ctime_q,QC code: Clock time of maximum gust HHMM,1
type,max_gust_ctime_q,int
long_name,mean_wind_dir_j,Descriptor: Mean wind direction,1
type,mean_wind_dir_j,char
long_name,mean_wind_speed_j,Descriptor: Mean wind speed,1
type,mean_wind_speed_j,char
long_name,max_gust_dir_j,Descriptor: Direction of maximum wind gust,1
type,max_gust_dir_j,char
long_name,max_gust_speed_j,Descriptor: Speed of maximum wind gust,1
type,max_gust_speed_j,char
long_name,meto_stmp_time,Met Office receipt stamp time,s
type,meto_stmp_time,char
comments,meto_stmp_time,Met Office receipt stampe time in format (YYYY-MM-DD HH:MM:SS)
long_name,midas_stmp_etime,Elapsed time to storage in MIDAS,minutes
type,midas_stmp_etime,int
data
ob_end_time,id_type,id,ob_hour_count,met_domain_name,version_num,src_id,rec_st_ind,mean_wind_dir,mean_wind_speed,max_gust_dir,max_gust_speed,max_gust_ctime,mean_wind_dir_q,mean_wind_speed_q,max_gust_dir_q,max_gust_speed_q,max_gust_ctime_q,mean_wind_dir_j,mean_wind_speed_j,max_gust_dir_j,max_gust_speed_j,meto_stmp_time,midas_stmp_etime
2018-01-01 00:00:00,WIND,576001,1,HCM,1,876,1011,270,26,270,41,2309,6,6,6,6,6,NA,NA,NA,NA,2017-12-31 23:52:00,0
2018-01-01 01:00:00,WIND,576001,1,HCM,1,876,1011,270,23,260,38,22,6,6,6,6,6,NA,NA,NA,NA,2018-01-01 00:52:00,0
2018-01-01 02:00:00,WIND,576001,1,HCM,1,876,1011,260,28,260,40,116,6,6,6,6,6,NA,NA,NA,NA,2018-01-01 01:52:00,0
2018-01-01 03:00:00,WIND,576001,1,HCM,1,876,1011,270,25,260,42,218,6,6,6,6,6,NA,NA,NA,NA,2018-01-01 02:52:00,0
2018-01-01 04:00:00,WIND,576001,1,HCM,1,876,1011,260,24,260,33,345,6,6,6,6,6,NA,NA,NA,NA,2018-01-01 03:52:00,0
2018-01-01 05:00:00,WIND,576001,1,HCM,1,876,1011,260,25,260,36,404,6,6,6,6,6,NA,NA,NA,NA,2018-01-01 04:52:00,0
2018-01-01 06:00:00,WIND,576001,1,HCM,1,876,1011,260,22,270,31,455,6,6,6,6,6,NA,NA,NA,NA,2018-01-01 05:52:00,0
2018-01-01 07:00:00,WIND,576001,1,HCM,1,876,1011,250,19,250,27,559,6,6,6,6,6,NA,NA,NA,NA,2018-01-01 06:52:00,0
2018-01-01 08:00:00,WIND,576001,1,HCM,1,876,1011,240,14,230,24,727,6,6,6,6,6,NA,NA,NA,NA,2018-01-01 07:52:00,0
2018-01-01 09:00:00,WIND,576001,1,HCM,1,876,1011,230,17,220,28,818,6,6,6,6,6,NA,NA,NA,NA,2018-01-01 08:55:00,0
2018-01-01 10:00:00,WIND,576001,1,HCM,1,876,1011,220,13,230,27,857,6,6,6,6,6,NA,NA,NA,NA,2018-01-01 09:52:00,0
2018-01-01 11:00:00,WIND,576001,1,HCM,1,876,1011,120,3,190,11,951,6,6,6,6,6,NA,NA,NA,NA,2018-01-01 10:52:00,0
2018-01-01 12:00:00,WIND,576001,1,HCM,1,876,1011,350,5,340,9,1116,6,6,6,6,6,NA,NA,NA,NA,2018-01-01 11:52:00,0
2018-01-01 13:00:00,WIND,576001,1,HCM,1,876,1011,300,8,300,18,1247,6,6,6,6,6,NA,NA,NA,NA,2018-01-01 12:52:00,0
2018-01-01 14:00:00,WIND,576001,1,HCM,1,876,1011,290,13,280,20,1330,6,6,6,6,6,NA,NA,NA,NA,2018-01-01 13:52:00,0
2018-01-01 15:00:00,WIND,576001,1,HCM,1,876,1011,290,18,290,29,1448,6,6,6,6,6,NA,NA,NA,NA,2018-01-01 14:52:00,0
2018-01-01 16:00:00,WIND,576001,1,HCM,1,876,1011,290,17,290,29,1455,6,6,6,6,6,NA,NA,NA,NA,2018-01-01 15:52:00,0
2018-01-01 17:00:00,WIND,576001,1,HCM,1,876,1011,280,21,280,32,1606,6,6,6,6,6,NA,NA,NA,NA,2018-01-01 16:52:00,0
2018-01-01 18:00:00,WIND,576001,1,HCM,1,876,1011,280,21,280,30,1714,6,6,6,6,6,NA,NA,NA,NA,2018-01-01 17:54:00,0
2018-01-01 19:00:00,WIND,576001,1,HCM,1,876,1011,280,23,280,33,1845,6,6,6,6,6,NA,NA,NA,NA,2018-01-01 18:52:00,0
2018-01-01 20:00:00,WIND,576001,1,HCM,1,876,1011,280,23,290,33,1935,6,6,6,6,6,NA,NA,NA,NA,2018-01-01 19:52:00,0
2018-01-01 21:00:00,WIND,576001,1,HCM,1,876,1011,280,20,280,31,2041,6,6,6,6,6,NA,NA,NA,NA,2018-01-01 20:56:00,0
2018-01-01 22:00:00,WIND,576001,1,HCM,1,876,1011,280,21,290,33,2126,6,6,6,6,6,NA,NA,NA,NA,2018-01-01 21:52:00,0
2018-01-01 23:00:00,WIND,576001,1,HCM,1,876,1011,280,20,290,31,2156,6,6,6,6,6,NA,NA,NA,NA,2018-01-01 22:52:00,0
2018-01-02 00:00:00,WIND,576001,1,HCM,1,876,1011,280,21,290,31,2304,6,6,6,6,6,NA,NA,NA,NA,2018-01-01 23:52:00,0
2018-01-02 01:00:00,WIND,576001,1,HCM,1,876,1011,280,16,280,24,10,6,6,6,6,6,NA,NA,NA,NA,2018-01-02 00:52:00,0
2018-01-02 02:00:00,WIND,576001,1,HCM,1,876,1011,280,15,280,22,117,6,6,6,6,6,NA,NA,NA,NA,2018-01-02 01:52:00,0
2018-01-02 03:00:00,WIND,576001,1,HCM,1,876,1011,280,17,270,23,247,6,6,6,6,6,NA,NA,NA,NA,2018-01-02 02:52:00,0
2018-01-02 04:00:00,WIND,576001,1,HCM,1,876,1011,270,16,270,25,259,6,6,6,6,6,NA,NA,NA,NA,2018-01-02 03:53:00,0
2018-01-02 05:00:00,WIND,576001,1,HCM,1,876,1011,270,11,270,16,401,6,6,6,6,6,NA,NA,NA,NA,2018-01-02 04:53:00,0
2018-01-02 06:00:00,WIND,576001,1,HCM,1,876,1011,270,10,260,15,533,6,6,6,6,6,NA,NA,NA,NA,2018-01-02 05:53:00,0
2018-01-02 07:00:00,WIND,576001,1,HCM,1,876,1011,270,10,260,16,607,6,6,6,6,6,NA,NA,NA,NA,2018-01-02 06:58:00,0
2018-01-02 08:00:00,WIND,576001,1,HCM,1,876,1011,250,7,260,10,650,6,6,6,6,6,NA,NA,NA,NA,2018-01-02 07:52:00,0
2018-01-02 09:00:00,WIND,576001,1,HCM,1,876,1011,230,8,230,19,844,6,6,6,6,6,NA,NA,NA,NA,2018-01-02 08:54:00,0
2018-01-02 10:00:00,WIND,576001,1,HCM,1,876,1011,220,12,220,21,946,6,6,6,6,6,NA,NA,NA,NA,2018-01-02 09:52:00,0
2018-01-02 11:00:00,WIND,576001,1,HCM,1,876,1011,220,16,220,26,1048,6,6,6,6,6,NA,NA,NA,NA,2018-01-02 10:52:00,0
2018-01-02 12:00:00,WIND,576001,1,HCM,1,876,1011,220,17,220,26,1058,6,6,6,6,6,NA,NA,NA,NA,2018-01-02 11:52:00,0
2018-01-02 13:00:00,WIND,576001,1,HCM,1,876,1011,230,19,220,29,1215,6,6,6,6,6,NA,NA,NA,NA,2018-01-02 12:52:00,0
2018-01-02 14:00:00,WIND,576001,1,HCM,1,876,1011,250,21,250,30,1340,6,6,6,6,6,NA,NA,NA,NA,2018-01-02 13:52:00,0
2018-01-02 15:00:00,WIND,576001,1,HCM,1,876,1011,260,22,270,30,1356,6,6,6,6,6,NA,NA,NA,NA,2018-01-02 14:52:00,0
2018-01-02 16:00:00,WIND,576001,1,HCM,1,876,1011,260,21,260,28,1452,6,6,6,6,6,NA,NA,NA,NA,2018-01-02 15:52:00,0
2018-01-02 17:00:00,WIND,576001,1,HCM,1,876,1011,260,19,260,24,1556,6,6,6,6,6,NA,NA,NA,NA,2018-01-02 16:52:00,0
2018-01-02 18:00:00,WIND,576001,1,HCM,1,876,1011,260,20,260,26,1657,6,6,6,6,6,NA,NA,NA,NA,2018-01-02 17:55:00,0
2018-01-02 19:00:00,WIND,576001,1,HCM,1,876,1011,250,20,250,26,1810,6,6,6,6,6,NA,NA,NA,NA,2018-01-02 18:53:00,0
2018-01-02 20:00:00,WIND,576001,1,HCM,1,876,1011,250,22,240,35,1927,6,6,6,6,6,NA,NA,NA,NA,2018-01-02 19:52:00,0
2018-01-02 21:00:00,WIND,576001,1,HCM,1,876,1011,240,29,240,41,2043,6,6,6,6,6,NA,NA,NA,NA,2018-01-02 20:55:00,0
2018-01-02 22:00:00,WIND,576001,1,HCM,1,876,1011,250,32,240,43,2146,6,6,6,6,6,NA,NA,NA,NA,2018-01-02 21:52:00,0
2018-01-02 23:00:00,WIND,576001,1,HCM,1,876,1011,250,37,250,49,2230,6,6,6,6,6,NA,NA,NA,NA,2018-01-02 22:52:00,0
2018-01-03 00:00:00,WIND,576001,1,HCM,1,876,1011,260,40,260,60,2324,6,6,6,6,6,NA,NA,NA,NA,2018-01-02 23:52:00,0
2018-01-03 01:00:00,WIND,576001,1,HCM,1,876,1011,260,29,260,40,5,6,6,6,6,6,NA,NA,NA,NA,2018-01-03 00:52:00,0
2018-01-03 02:00:00,WIND,576001,1,HCM,1,876,1011,260,28,260,42,145,6,6,6,6,6,NA,NA,NA,NA,2018-01-03 01:52:00,0
2018-01-03 03:00:00,WIND,576001,1,HCM,1,876,1011,270,34,270,50,205,6,6,6,6,6,NA,NA,NA,NA,2018-01-03 02:52:00,0
2018-01-03 04:00:00,WIND,576001,1,HCM,1,876,1011,270,36,290,61,333,6,6,6,6,6,NA,NA,NA,NA,2018-01-03 03:58:00,0
2018-01-03 05:00:00,WIND,576001,1,HCM,1,876,1011,270,34,280,50,435,6,6,6,6,6,NA,NA,NA,NA,2018-01-03 04:52:00,0
2018-01-03 06:00:00,WIND,576001,1,HCM,1,876,1011,280,35,270,50,515,6,6,6,6,6,NA,NA,NA,NA,2018-01-03 05:53:00,0
2018-01-03 07:00:00,WIND,576001,1,HCM,1,876,1011,270,34,270,47,551,6,6,6,6,6,NA,NA,NA,NA,2018-01-03 06:53:00,0
2018-01-03 08:00:00,WIND,576001,1,HCM,1,876,1011,270,32,280,48,740,6,6,6,6,6,NA,NA,NA,NA,2018-01-03 07:52:00,0
